model,Model:,AIC:,Link Function:,BIC:,Dependent Variable:,Log-Likelihood:,LL-Null:,No. Observations:,Deviance:,Df Model:,Pearson chi2:,Df Residuals:,Scale:,Method:
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-60.6231,Log,-13895.1348,obamacare_test_recommendations_neuMF_0,36.312,-76.76,1865,105.02,5,105,1859,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-58.8037,Log,-13887.6142,obamacare_test_recommendations_neuMF_0,36.402,-76.712,1865,105.01,6,105,1858,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-57.9944,Log,-13902.4047,obamacare_test_recommendations_neuMF_0,33.997,-76.548,1865,105.29,4,105,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-55.9916,Log,-13894.8737,obamacare_test_recommendations_neuMF_0,33.996,-76.49,1865,105.29,5,105,1859,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-54.8856,Log,-13902.229,obamacare_test_recommendations_neuMF_0,32.443,-76.369,1865,105.46,4,105,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-53.141,Log,-13894.7126,obamacare_test_recommendations_neuMF_0,32.57,-76.327,1865,105.45,5,105,1859,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,-51.8775,Log,-13909.4763,obamacare_test_recommendations_neuMF_0,29.939,-76.143,1865,105.75,3,106,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,-51.0475,Log,-13902.0118,obamacare_test_recommendations_neuMF_0,30.524,-76.153,1865,105.68,4,106,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,-50.586,Log,-13901.9856,obamacare_test_recommendations_neuMF_0,30.293,-76.127,1865,105.7,4,106,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,-49.6791,Log,-13894.5167,obamacare_test_recommendations_neuMF_0,30.84,-76.132,1865,105.64,5,106,1859,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-48.7882,Log,-13901.8837,obamacare_test_recommendations_neuMF_0,29.394,-76.027,1865,105.81,4,106,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,-47.5207,Log,-13901.8117,obamacare_test_recommendations_neuMF_0,28.76,-75.958,1865,105.88,4,106,1860,0,IRLS
