index,variant,atypicality-group-ratio-own_group_k_10,atypicality-group-ratio-own_group_k_10_std,atypicality-group-ratio_k_10,atypicality-group-ratio_k_10_std,atypicality-individual_diversity_content-own_group_k_10,atypicality-individual_diversity_content-own_group_k_10_std,atypicality-individual_diversity_content_k_10,atypicality-individual_diversity_content_k_10_std,atypicality-individual_diversity_political-own_group_k_10,atypicality-individual_diversity_political-own_group_k_10_std,atypicality-individual_diversity_political_k_10,atypicality-individual_diversity_political_k_10_std,clustering-coefficient_k_10,clustering-coefficient_k_10_std,community-coverage-political_k_10,community-coverage-political_k_10_std,community-coverage-structural_k_10,community-coverage-structural_k_10_std,expected-popularity-complement_k_10,expected-popularity-complement_k_10_std,group-ratio-same_k_10,group-ratio-same_k_10_std,individual-diversity-community_political_k_10,individual-diversity-community_political_k_10_std,individual-diversity-community_structural_k_10,individual-diversity-community_structural_k_10_std,individual-diversity-content_k_10,individual-diversity-content_k_10_std,individual-novelty-community_political_k_10,individual-novelty-community_political_k_10_std,individual-novelty-community_structural_k_10,individual-novelty-community_structural_k_10_std,individual-novelty-content_k_10,individual-novelty-content_k_10_std,inflated_diversity-group_ratio_k_10,inflated_diversity-group_ratio_k_10_std,inflated_diversity-individual_diversity_content_k_10,inflated_diversity-individual_diversity_content_k_10_std,metric-ratio-difference_ground-group-ratio_k_10,metric-ratio-difference_ground-group-ratio_k_10_std,metric-ratio-difference_ground-individual-diversity-content_k_10,metric-ratio-difference_ground-individual-diversity-content_k_10_std,metric-ratio-difference_ground-individual-diversity-political_k_10,metric-ratio-difference_ground-individual-diversity-political_k_10_std,metric-ratio-difference_train-group-ratio_k_10,metric-ratio-difference_train-group-ratio_k_10_std,metric-ratio-difference_train-individual-diversity-content_k_10,metric-ratio-difference_train-individual-diversity-content_k_10_std,metric-ratio-difference_train-individual-diversity-political_k_10,metric-ratio-difference_train-individual-diversity-political_k_10_std,calibration-group_ratio_k_10,calibration-group_ratio_k_10_std,calibration-individual_diversity_content_k_10,calibration-individual_diversity_content_k_10_std,calibration-individual_diversity_political_k_10,calibration-individual_diversity_political_k_10_std,ndcg-k-user_k_10,ndcg-k-user_k_10_std,popularity-bias_k_10,popularity-bias_k_10_std,precision-k-user_k_10,precision-k-user_k_10_std
ground_truth_0,all,0.12616428,0.136935959,0.150996875,0.143281581,0.186124977,0.182305172,0.189742927,0.186028208,0.208544817,0.189115362,0.210296909,0.191103002,0.110714858,0.075021616,0.794074074,0.250620661,0.021354394,0.013508625,0.947397989,0.03946,0.537149174,0.410152133,0.205317721,0.294861746,0.365819115,0.271500703,0.221169405,0.277625011,0.138450978,0.067976873,0.251922334,0.064261694,0.182743884,0.044537259,0.091054734,0.265211251,0.267501353,0.338431795,0,0,0,0,0,0,0.007333706,0.48240747,0.787564517,1.899772442,1.720484483,4.360329497,3.139476351,7.049029025,0.270637426,1.282440304,0.233110836,1.663852648,0.878556911,0.326724514,0.424348509,0.293567539,1,0
ground_truth_0,group_0,0.127354608,0.130409054,0.148519789,0.138887234,0.207448248,0.1802816,0.206706439,0.189607884,0.231392981,0.189101248,0.230889353,0.193969118,0.108969833,0.070532425,0.760768721,0.254453057,0.021469224,0.013611067,0.945891265,0.038899111,0.618485056,0.416020047,0.199361437,0.30455269,0.379814775,0.278235246,0.2240174,0.285897788,0.119953027,0.060307459,0.2559041,0.062651757,0.181421629,0.045790861,0.080252815,0.26192252,0.297277033,0.350181342,0,0,0,0,0,0,-0.01473356,0.284095084,0.833733412,1.933497839,2.031623859,4.801208738,2.885820736,6.552303837,0.309835672,1.383080509,0.25547307,1.784160996,0.869773818,0.336667507,0.446348583,0.301095883,1,0
ground_truth_0,group_1,0.122540314,0.155176098,0.158538391,0.155766648,0.121206058,0.172955309,0.138097341,0.164351426,0.138983345,0.171453575,0.147603,0.16727778,0.116027607,0.0871228,0.891472868,0.210973153,0.021018582,0.013211765,0.951804281,0.040776277,0.289521236,0.268549491,0.223451687,0.262549535,0.324889944,0.246500901,0.212498657,0.250764406,0.192546733,0.059800524,0.240277983,0.067480092,0.186610712,0.040444324,0.122644065,0.272411685,0.180424803,0.284380455,0,0,0,0,0,0,0.07224502,0.821719261,0.652547341,1.792507995,0.810582703,2.471639105,3.881271551,8.296289607,0.156005348,0.919062441,0.167714301,1.24633839,0.903732809,0.295247486,0.360011084,0.260143938,1,0
obamacare_test_recommendations_content-in-emb_0,all,0.122879153,0.118395027,0.148558142,0.143263125,0.197351069,0.212825276,0.193023095,0.207436468,0.244835564,0.245321469,0.234417453,0.225991679,0.117807226,0.080579252,0.754814815,0.29615083,0.015835149,0.008507056,0.922248644,0.213538724,0.545744681,0.421088863,0.078076629,0.077180202,0.193394814,0.087004688,0.109253919,0.080029899,0.119294801,0.063611695,0.228892417,0.079118957,0.16603865,0.051151216,0.082067086,0.239981612,0.259693777,0.31272119,0.089750113,0.536891542,175305.2463,1836632.35,-0.049447555,1.833196927,0.100838164,0.589997071,-0.092884408,0.239887449,-0.060590212,0.573260136,1.774598979,4.030713282,0.15950608,0.794989204,0.197890929,1.16566713,0.143069966,0.272200106,0.215061728,0.262673449,0.045037037,0.109193554
obamacare_test_recommendations_content-in-emb_0,group_0,0.117743357,0.110365552,0.144424095,0.131082737,0.231263387,0.222761084,0.224939918,0.217026821,0.282487668,0.259777588,0.266601954,0.237429905,0.11594589,0.075618722,0.707753479,0.288620707,0.016196936,0.008639635,0.925533425,0.202305739,0.616374269,0.427281398,0.065405795,0.064635899,0.19294903,0.083202931,0.107189157,0.0786204,0.100965328,0.049137647,0.231257279,0.075753864,0.165480739,0.048811736,0.07248031,0.247889016,0.311295295,0.324552927,0.048450559,0.328152541,223493.8994,2076059.088,-0.023870927,2.086075631,0.024554652,0.204545442,-0.099351549,0.23680707,-0.056073889,0.621765005,1.737895315,2.91019993,0.169494664,0.844167762,0.160994172,0.902753282,0.13930792,0.272847616,0.243538767,0.273679011,0.043870113,0.110807856
obamacare_test_recommendations_content-in-emb_0,group_1,0.138515136,0.138963162,0.16114429,0.174722267,0.094104666,0.134127636,0.095851998,0.13463193,0.130203344,0.143307066,0.136431406,0.149063989,0.123474082,0.093921535,0.89244186,0.274412075,0.014777132,0.008021776,0.91264257,0.243395114,0.330712166,0.316308242,0.116653114,0.096991216,0.194698475,0.097349903,0.115540111,0.083923851,0.172897851,0.070495299,0.221976569,0.087941445,0.167670217,0.057469388,0.11010283,0.21295532,0.108789336,0.212808795,0.227509582,0.93137573,34381.45278,781000.3739,-0.123933875,0.685304349,0.325227676,1.087750625,-0.073971782,0.247944551,-0.073797832,0.399126019,1.881935856,6.247887618,0.130295277,0.629321167,0.305792492,1.714101155,0.15385351,0.270312169,0.131782946,0.206208301,0.048449612,0.104358974
obamacare_test_recommendations_content-own-emb_0,all,0.108095306,0.114363505,0.116957822,0.121616565,0.193397874,0.189670224,0.19538432,0.183656118,0.190356001,0.211010791,0.1894685,0.207071824,0.139535626,0.085176126,0.912098765,0.190373022,0.019774873,0.006179686,0.964952298,0.014313664,0.510418195,0.369985927,0.077191715,0.062349732,0.207283822,0.067904418,0.050261478,0.035540832,0.126139302,0.045803301,0.247454626,0.054467617,0.157433556,0.032635672,-0.060981868,0.276038921,0.132738923,0.325447327,-0.000576909,0.589175031,93280.0918,977074.6996,-0.003769436,2.188856514,0.003290864,0.483396265,-0.604963343,0.135149672,-0.03428683,0.708981444,1.098961574,3.415452157,0.269568436,0.905112329,0.29620322,1.346811012,0.063681488,0.198664629,0.304,0.221361222,0.015703704,0.057106716
obamacare_test_recommendations_content-own-emb_0,group_0,0.10620807,0.110404508,0.110947802,0.114174794,0.215672386,0.201585085,0.206813476,0.196666295,0.207566853,0.226058166,0.200993924,0.21941869,0.13820167,0.080852252,0.893638171,0.204684733,0.019671189,0.006248158,0.964393227,0.014749233,0.5708577,0.377549704,0.073393047,0.062136798,0.204652087,0.066626951,0.050302673,0.035928538,0.112692315,0.037569203,0.246342563,0.051910374,0.157071177,0.032567062,-0.106423196,0.281438947,0.146794041,0.351346567,-0.06344348,0.338587875,115930.4539,1092745.164,0.12533479,2.508436162,-0.085632288,0.246891949,-0.597752322,0.13738191,0.067996355,0.780595431,0.956449168,2.368620361,0.305580533,0.94061614,0.324840739,1.476989011,0.067735454,0.205229358,0.310536779,0.222808314,0.016964877,0.061295146
obamacare_test_recommendations_content-own-emb_0,group_1,0.113841014,0.125564333,0.135255391,0.14040899,0.125582889,0.125310957,0.160588137,0.130726334,0.137957381,0.144554214,0.154379229,0.158922943,0.143596869,0.097116427,0.966085271,0.125848516,0.020078089,0.005970536,0.966587254,0.012830337,0.326409496,0.273521722,0.088756799,0.061612509,0.214980117,0.071017974,0.05013606,0.034359307,0.165463919,0.045088074,0.250706764,0.061276589,0.158493305,0.032844245,0.071907598,0.209251613,0.091635877,0.229181229,0.209121859,1.033130704,27040.95135,499578.8906,-0.379757182,0.482459979,0.264860138,0.806830064,-0.626051386,0.126180868,-0.33340568,0.266403906,1.515727504,5.402245918,0.16425399,0.783596366,0.212455128,0.855342993,0.052061178,0.178193563,0.284883721,0.216153905,0.012015504,0.042392156
obamacare_test_recommendations_implicit-both_0,all,0.124629699,0.12038001,0.159925279,0.14515488,0.215491181,0.215922112,0.203429383,0.205153885,0.262979156,0.264395718,0.24256245,0.224960895,0.143215184,0.095188471,0.81382716,0.241774606,0.01771968,0.006906731,0.933088671,0.032436986,0.577512839,0.408106632,0.063384447,0.058822517,0.165143678,0.063397304,0.102071295,0.066724591,0.111300096,0.050190008,0.211585548,0.045420666,0.163543203,0.027773663,0.074173119,0.215767204,0.286818998,0.322924309,0.106042476,0.535147063,186870.7103,1853923.992,-0.319542004,1.086939836,0.114004424,0.595399146,-0.204285458,0.169444179,-0.317900817,0.346391111,1.585429055,3.986457572,0.540857912,2.036568579,0.209123213,0.520753717,0.293466834,0.35403555,0.588641975,0.291020731,0.116740741,0.192064004
obamacare_test_recommendations_implicit-both_0,group_0,0.120269101,0.115350341,0.160853548,0.137241841,0.253750457,0.223180581,0.241055331,0.211616775,0.30095584,0.281861559,0.276984267,0.23683962,0.141414464,0.089784815,0.762425447,0.249773801,0.018881807,0.006796211,0.931246618,0.031473582,0.64371345,0.415971312,0.051029544,0.046883907,0.170993381,0.060639277,0.100021809,0.066123063,0.092616207,0.037953141,0.216359435,0.044190544,0.162497959,0.026873856,0.071308321,0.225214293,0.351647861,0.330750025,0.049190233,0.335943545,226430.4163,2030531.023,-0.326811046,1.209302104,0.017549731,0.196342765,-0.206457257,0.165058701,-0.337329349,0.364289255,1.571670667,2.872816406,0.670599502,2.296025922,0.219346149,0.568907965,0.274781225,0.34482153,0.628959576,0.286805864,0.108018555,0.183346752
obamacare_test_recommendations_implicit-both_0,group_1,0.137905588,0.133759873,0.157099157,0.167035091,0.099010419,0.137576989,0.088876796,0.128388489,0.147358749,0.152142831,0.137764869,0.139116605,0.148697498,0.109911071,0.964147287,0.129124947,0.014321135,0.006058083,0.938475602,0.034575639,0.375964392,0.304962968,0.100999078,0.073680528,0.148036698,0.068082682,0.108310977,0.068194737,0.165939609,0.040842266,0.197624702,0.046127656,0.166599934,0.030071501,0.082550988,0.185345199,0.097232266,0.202919259,0.295679753,0.905497172,71181.57002,1190350.105,-0.298372515,0.603174727,0.397727878,1.085212829,-0.197934209,0.181681907,-0.261083659,0.280416808,1.625664341,6.18773222,0.161439192,0.818838818,0.179227069,0.341853149,0.347027351,0.374422218,0.470736434,0.270734779,0.142248062,0.213700599
